pose_name,nose_y,nose_x,nose_confidence,left_eye_y,left_eye_x,left_eye_confidence,right_eye_y,right_eye_x,right_eye_confidence,left_ear_y,left_ear_x,left_ear_confidence,right_ear_y,right_ear_x,right_ear_confidence,left_shoulder_y,left_shoulder_x,left_shoulder_confidence,right_shoulder_y,right_shoulder_x,right_shoulder_confidence,left_elbow_y,left_elbow_x,left_elbow_confidence,right_elbow_y,right_elbow_x,right_elbow_confidence,left_wrist_y,left_wrist_x,left_wrist_confidence,right_wrist_y,right_wrist_x,right_wrist_confidence,left_hip_y,left_hip_x,left_hip_confidence,right_hip_y,right_hip_x,right_hip_confidence,left_knee_y,left_knee_x,left_knee_confidence,right_knee_y,right_knee_x,right_knee_confidence,left_ankle_y,left_ankle_x,left_ankle_confidence,right_ankle_y,right_ankle_x,right_ankle_confidence
Bound Angle Pose or Baddha Konasana ,0.3213829100131988,0.4879888296127319,0.8783438801765442,0.2912424504756927,0.5145255327224731,0.7524731159210205,0.291778564453125,0.4622769057750702,0.7521538734436035,0.2972998917102813,0.5509135127067566,0.8306326866149902,0.2983943521976471,0.4344204068183899,0.8523387908935547,0.4484674334526062,0.6279141306877136,0.9332794547080994,0.4496228396892547,0.3696679472923279,0.95810204744339,0.6649929285049438,0.6444730758666992,0.9455851316452026,0.6571836471557617,0.3406218290328979,0.8199355006217957,0.8279876708984375,0.6047582030296326,0.808807373046875,0.8311570882797241,0.3748497366905212,0.8418926000595093,0.7970932722091675,0.5741641521453857,0.8418530225753784,0.7982079982757568,0.4172630310058594,0.8979744911193848,0.7606727480888367,0.871550977230072,0.9396857023239136,0.7755030989646912,0.1066186055541038,0.9076496958732604,0.9004822969436646,0.589087963104248,0.8611831665039062,0.891494870185852,0.3962641954421997,0.6102557182312012
Bound Angle Pose or Baddha Konasana ,0.1985711455345153,0.4870380163192749,0.8796321153640747,0.1724485605955124,0.5159857869148254,0.9040437340736388,0.1741884350776672,0.4606996774673462,0.7317837476730347,0.1979748010635376,0.5588424205780029,0.7837585806846619,0.2032689452171325,0.431107223033905,0.7864734530448914,0.3654777407646179,0.6449005603790283,0.9019771218299866,0.3801648616790771,0.3598441481590271,0.907512664794922,0.6111829876899719,0.608774721622467,0.9534643292427064,0.6083390116691589,0.3974505066871643,0.7586899995803833,0.8072330355644226,0.5599793791770935,0.8392351865768433,0.8068538904190063,0.4085484743118286,0.8628864288330078,0.7422916293144226,0.5909383893013,0.7996779084205627,0.7480964660644531,0.4348405599594116,0.8991456031799316,0.695379912853241,0.88390052318573,0.971831738948822,0.7081176042556763,0.1264985203742981,0.9369632601737976,0.8707934617996216,0.559313178062439,0.5488510727882385,0.8701951503753662,0.4119229018688202,0.7883644104003906
Bound Angle Pose or Baddha Konasana ,0.201529175043106,0.4828733205795288,0.775294303894043,0.1813555806875229,0.513882040977478,0.8744834065437317,0.1782954633235931,0.4560728669166565,0.7727406620979309,0.2149811387062072,0.5485568046569824,0.8029270768165588,0.2106973528861999,0.4214611053466797,0.7856888771057129,0.3803606927394867,0.6319636702537537,0.9408267140388488,0.3903428018093109,0.3398773670196533,0.9014320373535156,0.6273903846740723,0.617225170135498,0.8291950821876526,0.6272329092025757,0.3620325326919555,0.8720998167991638,0.7922414541244507,0.5663557052612305,0.7733715176582336,0.7843285799026489,0.3982719182968139,0.7706018686294556,0.7381213903427124,0.5664856433868408,0.9278956055641174,0.7359522581100464,0.4054670035839081,0.917400062084198,0.726809024810791,0.8957359790802002,0.8444717526435852,0.7572696208953857,0.081850528717041,0.8169939517974854,0.8460003137588501,0.5600932240486145,0.7627077698707581,0.850158154964447,0.4013991057872772,0.6974179744720459
Bound Angle Pose or Baddha Konasana ,0.3536089062690735,0.4897034764289856,0.6575997471809387,0.3270159363746643,0.5149132013320923,0.8570929169654846,0.3273222148418426,0.4620570540428161,0.7388398051261902,0.3466635346412658,0.5560389161109924,0.8763075470924377,0.3497880697250366,0.4274159669876098,0.8293141722679138,0.5030491352081299,0.6257759928703308,0.9030575156211852,0.4983051419258117,0.3542194366455078,0.8088822364807129,0.6951621770858765,0.5962333679199219,0.8114439249038696,0.6830207705497742,0.3877096772193908,0.8828533887863159,0.85221928358078,0.5672553777694702,0.7685927748680115,0.8596967458724976,0.4162784516811371,0.661710798740387,0.8036507368087769,0.5683289766311646,0.9168766140937804,0.8052403926849365,0.4167321920394897,0.9033198952674866,0.8296961784362793,0.9252021312713624,0.9007748365402222,0.8042759895324707,0.0674022808670997,0.9320182800292968,0.9206329584121704,0.5621289610862732,0.8421168923377991,0.9154181480407716,0.4226498305797577,0.7745779752731323
Bound Angle Pose or Baddha Konasana ,0.2979731559753418,0.5061254501342773,0.6353219747543335,0.2707789838314056,0.5277925133705139,0.7974676489830017,0.2713247239589691,0.476652979850769,0.6033784747123718,0.2839498817920685,0.5569018721580505,0.8538843393325806,0.2842370867729187,0.4493427276611328,0.8677408695220947,0.4246052503585815,0.6222907900810242,0.8955867290496826,0.4347122609615326,0.382052481174469,0.90133935213089,0.643447756767273,0.6200684309005737,0.9041447639465332,0.6384625434875488,0.37568199634552,0.7947369813919067,0.7839903235435486,0.5797394514083862,0.9446510672569276,0.7797976732254028,0.4379971623420715,0.880560040473938,0.7173701524734497,0.5586429834365845,0.9039129018783568,0.7240669131278992,0.4215385913848877,0.9152838587760924,0.74553382396698,0.8535243272781372,0.9036663174629213,0.7535983920097351,0.1226552128791809,0.9203770756721495,0.8180440664291382,0.5604509115219116,0.5551159381866455,0.8176938891410828,0.4394152164459228,0.7157411575317383
Bound Angle Pose or Baddha Konasana ,0.3192089796066284,0.4942643046379089,0.7824055552482605,0.2979148030281067,0.514838457107544,0.8610227108001709,0.2995155751705169,0.4728100001811981,0.8186972141265869,0.3072707653045654,0.5410329103469849,0.6813418865203857,0.306613028049469,0.4509533047676086,0.8135640621185303,0.4221234917640686,0.5988668203353882,0.9140527248382568,0.4223538637161255,0.3951284885406494,0.8569106459617615,0.603759765625,0.6136895418167114,0.9053111672401428,0.6061388254165649,0.3772647976875305,0.8506181836128235,0.7154602408409119,0.5563817620277405,0.7114789485931396,0.7171926498413086,0.4414148330688476,0.7728440761566162,0.6939084529876709,0.555901050567627,0.8520601391792297,0.6984764933586121,0.4326807856559753,0.9088668823242188,0.708868145942688,0.7878793478012085,0.8373780846595764,0.7077779173851013,0.2069065272808075,0.8667694926261902,0.7770735621452332,0.5400053858757019,0.7555400729179382,0.7768105268478394,0.4570338129997253,0.7530321478843689
Bound Angle Pose or Baddha Konasana ,0.305550754070282,0.5053689479827881,0.7317543029785156,0.2869332432746887,0.5292051434516907,0.8476821780204773,0.28501957654953,0.4834389686584472,0.7903923392295837,0.3076541423797607,0.5572652220726013,0.796915590763092,0.3047171831130981,0.4505575299263,0.846623420715332,0.4565833210945129,0.6341167688369751,0.8669776320457458,0.4503127932548523,0.3735691010951996,0.8636271953582764,0.6448075771331787,0.6166947484016418,0.8993497490882874,0.6543014049530029,0.3971929550170898,0.8557112216949463,0.8015667796134949,0.5902093052864075,0.8378599882125854,0.8033780455589294,0.4188630282878876,0.8465489745140076,0.7579431533813477,0.5775930285453796,0.8132755160331726,0.757635772228241,0.4279100596904754,0.7891668677330017,0.7726445198059082,0.8659911155700684,0.907009780406952,0.7696424722671509,0.1363837122917175,0.923660933971405,0.836852490901947,0.5785278081893921,0.5742342472076416,0.8336480855941772,0.4274035096168518,0.7097720503807068
Bound Angle Pose or Baddha Konasana ,0.221614584326744,0.5150533318519592,0.8212689161300659,0.1948391646146774,0.5382495522499084,0.7715975642204285,0.1966235339641571,0.4810275733470917,0.7573235034942627,0.2198878228664398,0.5690121650695801,0.6804178357124329,0.2275959104299545,0.4304978847503662,0.8468377590179443,0.3961112201213836,0.6424837112426758,0.8876795768737793,0.400141954421997,0.3491892516613006,0.7869548797607422,0.6058176755905151,0.6366780400276184,0.848033607006073,0.6204406023025513,0.3813436627388,0.8596517443656921,0.7962033748626709,0.6019061207771301,0.6894927024841309,0.7978951930999756,0.4265422523021698,0.7328627109527588,0.715060830116272,0.584079384803772,0.9228181838989258,0.7221331596374512,0.4190954566001892,0.9041167497634888,0.7108510732650757,0.8999720811843872,0.9293634295463562,0.7566973567008972,0.1025944352149963,0.9037306308746338,0.8292245268821716,0.6048581004142761,0.8163014650344849,0.8248090744018555,0.440705269575119,0.7353911399841309
Bound Angle Pose or Baddha Konasana ,0.1970923393964767,0.5140362977981567,0.8603627681732178,0.1674532145261764,0.5441733002662659,0.5950365662574768,0.1673739403486251,0.4810680150985718,0.7066909670829773,0.1956814527511596,0.5770377516746521,0.863283634185791,0.1949871778488159,0.4385077357292175,0.7453604340553284,0.3744664192199707,0.6623363494873047,0.932522177696228,0.3742946088314056,0.3618225455284118,0.8833983540534973,0.6105668544769287,0.6627448797225952,0.952192485332489,0.6129164099693298,0.3534168601036072,0.9225593209266664,0.775274395942688,0.6088269352912903,0.8826520442962646,0.7820068597793579,0.3914396166801452,0.8460399508476257,0.7596015334129333,0.593144416809082,0.8755677938461304,0.7492973208427429,0.4236943125724792,0.925869345664978,0.8030979633331299,0.9384039640426636,0.7449767589569092,0.8171843886375427,0.0714328289031982,0.7715058326721191,0.8478295207023621,0.5626167058944702,0.6816053986549377,0.8546189069747925,0.4627060890197754,0.7037867903709412
Bound Angle Pose or Baddha Konasana ,0.2452361285686493,0.4480255544185638,0.802371084690094,0.2193824499845504,0.4734992980957031,0.884678304195404,0.2210115045309066,0.4235555827617645,0.8890935182571411,0.2378402948379516,0.5119519233703613,0.8820180296897888,0.2408589571714401,0.3953984975814819,0.7198183536529541,0.3663339614868164,0.5846196413040161,0.8560341596603394,0.3656574189662933,0.3251688480377197,0.8655716776847839,0.5471009612083435,0.5525624752044678,0.7413621544837952,0.5633494853973389,0.3529160618782043,0.656709611415863,0.7017885446548462,0.5162272453308105,0.8705575466156006,0.7025906443595886,0.3987852036952972,0.7323307991027832,0.6649563908576965,0.5346336364746094,0.9062910079956056,0.6656795740127563,0.3687771260738373,0.8701774477958679,0.6554583311080933,0.8228762149810791,0.920036256313324,0.6605907678604126,0.0818782821297645,0.9293627142906188,0.7610771656036377,0.5115811824798584,0.5958629250526428,0.7643920183181763,0.4127463102340698,0.769119918346405
